# All Function Definitions in ServerSentry
# Generated: Sun May 25 17:20:24 +03 2025
# Format: FUNCTION_NAME | FILE | LINE_NUMBER | TYPE

check_privileges | ./bin/install.sh | 59 | standard
show_header | ./bin/install.sh | 86 | standard
check_dependencies | ./bin/install.sh | 93 | standard
setup_directories | ./bin/install.sh | 169 | standard
setup_configuration | ./bin/install.sh | 240 | standard
setup_cron | ./bin/install.sh | 382 | standard
create_symlink | ./bin/install.sh | 415 | standard
configure_webhooks | ./bin/install.sh | 447 | standard
configure_process_monitoring | ./bin/install.sh | 629 | standard
show_usage | ./bin/install.sh | 647 | standard
main | ./bin/install.sh | 670 | standard
print_test_header | ./test_fixes.sh | 23 | standard
print_success | ./test_fixes.sh | 27 | standard
print_failure | ./test_fixes.sh | 33 | standard
print_info | ./test_fixes.sh | 39 | standard
print_info | ./check-lint.sh | 54 | standard
print_success | ./check-lint.sh | 60 | standard
print_warning | ./check-lint.sh | 66 | standard
print_error | ./check-lint.sh | 72 | standard
print_header | ./check-lint.sh | 78 | standard
print_dim | ./check-lint.sh | 79 | standard
validate_dependencies | ./check-lint.sh | 82 | standard
process_file_safely | ./check-lint.sh | 114 | standard
write_output_safely | ./check-lint.sh | 148 | standard
show_usage | ./check-lint.sh | 173 | standard
parse_arguments | ./check-lint.sh | 230 | standard
is_excluded | ./check-lint.sh | 337 | standard
filter_severity | ./check-lint.sh | 349 | standard
get_file_stats | ./check-lint.sh | 407 | standard
start_timer | ./check-lint.sh | 427 | standard
end_timer | ./check-lint.sh | 431 | standard
format_duration | ./check-lint.sh | 439 | standard
check_file | ./check-lint.sh | 449 | standard
find_bash_files | ./check-lint.sh | 523 | standard
generate_json_output | ./check-lint.sh | 550 | standard
run_analysis | ./check-lint.sh | 591 | standard
main | ./check-lint.sh | 740 | standard
demo_print_header | ./demo.sh | 39 | standard
demo_print_step | ./demo.sh | 45 | standard
run_command | ./demo.sh | 52 | standard
main | ./demo.sh | 82 | standard
print_status | ./fix-lint.sh | 56 | standard
print_success | ./fix-lint.sh | 62 | standard
print_info | ./fix-lint.sh | 63 | standard
print_warning | ./fix-lint.sh | 64 | standard
print_error | ./fix-lint.sh | 65 | standard
print_header | ./fix-lint.sh | 72 | standard
print_dim | ./fix-lint.sh | 73 | standard
safe_file_operation | ./fix-lint.sh | 76 | standard
create_backup | ./fix-lint.sh | 137 | standard
validate_dependencies | ./fix-lint.sh | 166 | standard
show_usage | ./fix-lint.sh | 201 | standard
parse_arguments | ./fix-lint.sh | 265 | standard
list_available_fixes | ./fix-lint.sh | 361 | standard
is_valid_fix_type | ./fix-lint.sh | 379 | standard
is_excluded | ./fix-lint.sh | 392 | standard
check_tools | ./fix-lint.sh | 404 | standard
create_backup | ./fix-lint.sh | 431 | standard
cleanup_old_backups | ./fix-lint.sh | 461 | standard
rollback_files | ./fix-lint.sh | 486 | standard
apply_formatting | ./fix-lint.sh | 555 | standard
apply_quote_fixes | ./fix-lint.sh | 590 | standard
apply_read_fixes | ./fix-lint.sh | 642 | standard
