Function,File,Line,Type,Description
check_privileges,./bin/install.sh,59,standard,Function definition
show_header,./bin/install.sh,86,standard,Function definition
check_dependencies,./bin/install.sh,93,standard,Function definition
setup_directories,./bin/install.sh,169,standard,Function definition
setup_configuration,./bin/install.sh,240,standard,Function definition
setup_cron,./bin/install.sh,382,standard,Function definition
create_symlink,./bin/install.sh,415,standard,Function definition
configure_webhooks,./bin/install.sh,447,standard,Function definition
configure_process_monitoring,./bin/install.sh,629,standard,Function definition
show_usage,./bin/install.sh,647,standard,Function definition
main,./bin/install.sh,670,standard,Function definition
print_test_header,./test_fixes.sh,23,standard,Function definition
print_success,./test_fixes.sh,27,standard,Function definition
print_failure,./test_fixes.sh,33,standard,Function definition
print_info,./test_fixes.sh,39,standard,Function definition
print_info,./check-lint.sh,54,standard,Function definition
print_success,./check-lint.sh,60,standard,Function definition
print_warning,./check-lint.sh,66,standard,Function definition
print_error,./check-lint.sh,72,standard,Function definition
print_header,./check-lint.sh,78,standard,Function definition
print_dim,./check-lint.sh,79,standard,Function definition
validate_dependencies,./check-lint.sh,82,standard,Function definition
process_file_safely,./check-lint.sh,114,standard,Function definition
write_output_safely,./check-lint.sh,148,standard,Function definition
show_usage,./check-lint.sh,173,standard,Function definition
parse_arguments,./check-lint.sh,230,standard,Function definition
is_excluded,./check-lint.sh,337,standard,Function definition
filter_severity,./check-lint.sh,349,standard,Function definition
get_file_stats,./check-lint.sh,407,standard,Function definition
start_timer,./check-lint.sh,427,standard,Function definition
end_timer,./check-lint.sh,431,standard,Function definition
format_duration,./check-lint.sh,439,standard,Function definition
check_file,./check-lint.sh,449,standard,Function definition
find_bash_files,./check-lint.sh,523,standard,Function definition
generate_json_output,./check-lint.sh,550,standard,Function definition
run_analysis,./check-lint.sh,591,standard,Function definition
main,./check-lint.sh,740,standard,Function definition
demo_print_header,./demo.sh,39,standard,Function definition
demo_print_step,./demo.sh,45,standard,Function definition
run_command,./demo.sh,52,standard,Function definition
main,./demo.sh,82,standard,Function definition
print_status,./fix-lint.sh,56,standard,Function definition
print_success,./fix-lint.sh,62,standard,Function definition
print_info,./fix-lint.sh,63,standard,Function definition
print_warning,./fix-lint.sh,64,standard,Function definition
print_error,./fix-lint.sh,65,standard,Function definition
print_header,./fix-lint.sh,72,standard,Function definition
print_dim,./fix-lint.sh,73,standard,Function definition
safe_file_operation,./fix-lint.sh,76,standard,Function definition
create_backup,./fix-lint.sh,137,standard,Function definition
validate_dependencies,./fix-lint.sh,166,standard,Function definition
show_usage,./fix-lint.sh,201,standard,Function definition
parse_arguments,./fix-lint.sh,265,standard,Function definition
list_available_fixes,./fix-lint.sh,361,standard,Function definition
is_valid_fix_type,./fix-lint.sh,379,standard,Function definition
is_excluded,./fix-lint.sh,392,standard,Function definition
check_tools,./fix-lint.sh,404,standard,Function definition
create_backup,./fix-lint.sh,431,standard,Function definition
cleanup_old_backups,./fix-lint.sh,461,standard,Function definition
rollback_files,./fix-lint.sh,486,standard,Function definition
apply_formatting,./fix-lint.sh,555,standard,Function definition
apply_quote_fixes,./fix-lint.sh,590,standard,Function definition
apply_read_fixes,./fix-lint.sh,642,standard,Function definition
apply_variable_fixes,./fix-lint.sh,685,standard,Function definition
should_apply_fix,./fix-lint.sh,732,standard,Function definition
process_file,./fix-lint.sh,749,standard,Function definition
find_bash_files,./fix-lint.sh,817,standard,Function definition
show_summary,./fix-lint.sh,841,standard,Function definition
main,./fix-lint.sh,898,standard,Function definition
test_pass,./tests/unit/core/core_array_utils_test.sh,26,standard,Function definition
test_fail,./tests/unit/core/core_array_utils_test.sh,33,standard,Function definition
setup_array_utils_tests,./tests/unit/core/core_array_utils_test.sh,41,standard,Function definition
cleanup_array_utils_tests,./tests/unit/core/core_array_utils_test.sh,47,standard,Function definition
test_util_array_create_basic,./tests/unit/core/core_array_utils_test.sh,54,standard,Function definition
test_util_array_create_empty,./tests/unit/core/core_array_utils_test.sh,74,standard,Function definition
test_util_array_create_special_chars,./tests/unit/core/core_array_utils_test.sh,90,standard,Function definition
test_util_array_push_basic,./tests/unit/core/core_array_utils_test.sh,110,standard,Function definition
test_util_array_push_empty,./tests/unit/core/core_array_utils_test.sh,130,standard,Function definition
test_util_array_pop_basic,./tests/unit/core/core_array_utils_test.sh,148,standard,Function definition
test_util_array_pop_empty,./tests/unit/core/core_array_utils_test.sh,169,standard,Function definition
test_util_array_shift_basic,./tests/unit/core/core_array_utils_test.sh,188,standard,Function definition
test_util_array_unshift_basic,./tests/unit/core/core_array_utils_test.sh,209,standard,Function definition
test_util_array_contains_basic,./tests/unit/core/core_array_utils_test.sh,229,standard,Function definition
test_util_array_contains_case_sensitive,./tests/unit/core/core_array_utils_test.sh,248,standard,Function definition
test_util_array_contains_special_chars,./tests/unit/core/core_array_utils_test.sh,267,standard,Function definition
test_util_array_index_of_basic,./tests/unit/core/core_array_utils_test.sh,286,standard,Function definition
test_util_array_remove_basic,./tests/unit/core/core_array_utils_test.sh,319,standard,Function definition
test_util_array_remove_nonexistent,./tests/unit/core/core_array_utils_test.sh,338,standard,Function definition
test_util_array_remove_all_basic,./tests/unit/core/core_array_utils_test.sh,359,standard,Function definition
test_util_array_slice_basic,./tests/unit/core/core_array_utils_test.sh,378,standard,Function definition
test_util_array_slice_edge_cases,./tests/unit/core/core_array_utils_test.sh,400,standard,Function definition
test_util_array_join_basic,./tests/unit/core/core_array_utils_test.sh,429,standard,Function definition
test_util_array_join_edge_cases,./tests/unit/core/core_array_utils_test.sh,463,standard,Function definition
test_util_array_split_basic,./tests/unit/core/core_array_utils_test.sh,489,standard,Function definition
test_util_array_split_delimiters,./tests/unit/core/core_array_utils_test.sh,508,standard,Function definition
test_util_array_reverse_basic,./tests/unit/core/core_array_utils_test.sh,535,standard,Function definition
test_util_array_reverse_edge_cases,./tests/unit/core/core_array_utils_test.sh,555,standard,Function definition
test_util_array_sort_basic,./tests/unit/core/core_array_utils_test.sh,581,standard,Function definition
test_util_array_sort_numeric,./tests/unit/core/core_array_utils_test.sh,601,standard,Function definition
test_util_array_unique_basic,./tests/unit/core/core_array_utils_test.sh,622,standard,Function definition
test_util_array_unique_no_duplicates,./tests/unit/core/core_array_utils_test.sh,642,standard,Function definition
test_util_array_filter_basic,./tests/unit/core/core_array_utils_test.sh,663,standard,Function definition
test_util_array_map_basic,./tests/unit/core/core_array_utils_test.sh,689,standard,Function definition
test_util_array_performance_large,./tests/unit/core/core_array_utils_test.sh,715,standard,Function definition
test_util_array_edge_cases,./tests/unit/core/core_array_utils_test.sh,745,standard,Function definition
test_util_array_memory_efficiency,./tests/unit/core/core_array_utils_test.sh,773,standard,Function definition
test_util_array_operation_chaining,./tests/unit/core/core_array_utils_test.sh,796,standard,Function definition
main,./tests/unit/core/core_array_utils_test.sh,818,standard,Function definition
test_pass,./tests/unit/core/core_json_utils_test.sh,28,standard,Function definition
test_fail,./tests/unit/core/core_json_utils_test.sh,35,standard,Function definition
generate_simple_json,./tests/unit/core/core_json_utils_test.sh,44,standard,Function definition
generate_complex_json,./tests/unit/core/core_json_utils_test.sh,48,standard,Function definition
generate_nested_array_json,./tests/unit/core/core_json_utils_test.sh,74,standard,Function definition
generate_invalid_json,./tests/unit/core/core_json_utils_test.sh,97,standard,Function definition
generate_empty_json,./tests/unit/core/core_json_utils_test.sh,101,standard,Function definition
generate_array_json,./tests/unit/core/core_json_utils_test.sh,105,standard,Function definition
setup_json_test,./tests/unit/core/core_json_utils_test.sh,111,standard,Function definition
teardown_json_test,./tests/unit/core/core_json_utils_test.sh,116,standard,Function definition
test_util_json_validate_valid,./tests/unit/core/core_json_utils_test.sh,123,standard,Function definition
test_util_json_validate_complex,./tests/unit/core/core_json_utils_test.sh,139,standard,Function definition
test_util_json_validate_invalid,./tests/unit/core/core_json_utils_test.sh,155,standard,Function definition
test_util_json_validate_empty,./tests/unit/core/core_json_utils_test.sh,171,standard,Function definition
test_util_json_validate_array,./tests/unit/core/core_json_utils_test.sh,187,standard,Function definition
